row_index,order_id,dirty_reasons
0,1000-01,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
1,ORD1001,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;outlier_date;phone_inconsistent_format;quantity_non_numeric;quantity_range_string;tax_or_discount_percent_string
2,ORD-1002,currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;tags_mixed_delimiters
3,ORD-1003,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;phone_inconsistent_format;product_unknown;quantity_non_numeric
4, 1004 ,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;product_name_typo_or_variant;quantity_non_numeric;tags_mixed_delimiters
5, ORD-1005,currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;tags_mixed_delimiters;total_price_mismatch
6,\t1006-01 ,currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;product_name_typo_or_variant;quantity_non_numeric;tax_or_discount_percent_string
7,ORD1007,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_order_id_format;invalid_date_token;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_name_typo_or_variant;quantity_non_numeric;tags_mixed_delimiters
8,ORD1008,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;outlier_date;quantity_non_numeric;tags_mixed_delimiters
9,ORD-1009,country_region_mixed;currency_symbol_or_text;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;phone_inconsistent_format
10,1010,address_multiline_or_missing_punctuation;currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;quantity_non_numeric
11,ORD-1011,currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
12,  1012,country_region_mixed;decimal_separator_variation;email_invalid_format;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric;shipping_cost_free_string;tax_or_discount_percent_string
13,#1013,currency_symbol_or_text;decimal_separator_variation;email_invalid_format;leading_trailing_whitespace;merged_columns_duplicates;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters
14,01014 ,country_region_mixed;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;quantity_non_numeric
15,1015-01,address_multiline_or_missing_punctuation;currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;product_name_typo_or_variant
16,\t01016,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;outlier_date;quantity_non_numeric;tags_mixed_delimiters
17,Order ID,currency_symbol_or_text;header_row_inside_data;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;outlier_date;quantity_non_numeric
18,1018,currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters;tax_or_discount_percent_string
19,null,currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_order_id_format;invalid_date_token;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
20,01020,address_multiline_or_missing_punctuation;currency_symbol_or_text;email_invalid_format;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;product_name_typo_or_variant;shipping_cost_free_string;total_price_mismatch
21,ORD1021,address_multiline_or_missing_punctuation;currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;quantity_range_string;shipping_cost_free_string;tags_mixed_delimiters
22,1022-01,address_multiline_or_missing_punctuation;country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_name_typo_or_variant;quantity_non_numeric;tax_or_discount_percent_string
23,01023,currency_symbol_or_text;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters
24,#1024,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_unknown;quantity_non_numeric;tags_mixed_delimiters
25,#1025,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;email_invalid_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;product_name_typo_or_variant
